Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12,Temperature (°C)
1743710983077861,6,213,7,6,7,6,8,6,8,8,6,9,21.54
1743710983104856,12,212,6,8,7,7,7,7,8,7,7,7,21.56
1743710983131863,8,219,8,8,6,4,8,9,7,7,8,6,21.42
1743710983158433,6,226,7,8,7,7,7,7,7,7,14,8,21.61
1743710983185732,8,230,8,7,7,7,7,7,7,7,8,7,21.54
1743710983212089,10,231,7,8,8,7,7,10,8,6,8,7,21.63
1743710983238870,9,232,7,9,6,8,8,7,8,6,4,7,21.3
1743710983265237,9,234,8,8,6,7,7,7,6,7,8,6,21.57
1743710983291722,7,230,8,10,8,7,6,8,7,8,7,4,21.73
1743710983318630,11,236,8,9,8,7,8,7,8,7,8,5,21.68
1743710983345009,8,232,7,6,8,7,6,8,6,8,7,8,21.71
1743710983371090,9,235,7,7,7,6,8,8,6,7,7,8,21.75
1743710983397676,9,227,8,7,7,7,7,7,8,8,7,6,21.8
1743710983424175,10,230,7,8,6,8,7,8,6,8,7,6,21.75
1743710983450310,9,218,7,9,7,7,7,6,7,7,7,7,21.83
1743710983477358,9,189,6,8,8,7,7,8,8,8,7,7,21.89
1743710983505810,10,137,7,7,7,7,7,8,7,7,8,7,21.89
1743710983532209,9,46,8,7,7,7,7,8,6,7,7,7,21.85
1743710983559599,8,7,8,8,7,6,7,8,7,7,6,7,21.63
1743710983585807,9,7,7,6,7,8,7,7,8,7,7,7,21.96
1743710983612107,9,5,7,7,7,7,7,6,8,10,7,4,22.01
1743710983639832,8,7,8,5,7,5,6,7,9,4,7,8,21.94
1743710983666959,7,6,8,7,8,7,7,6,11,10,7,8,21.94
1743710983693849,9,7,8,7,7,9,9,7,7,8,8,7,22.02
1743710983720854,21,7,6,8,7,11,7,6,9,6,8,7,21.63
1743710983748247,8,7,7,7,7,8,7,7,5,8,7,7,22.01
1743710983775285,10,7,7,6,7,4,7,7,8,7,7,8,21.89
1743710983801843,9,7,8,7,6,7,7,8,7,7,7,8,21.89
1743710983829143,6,8,10,8,8,9,7,7,7,6,8,7,22.18
1743710983855054,7,7,7,6,7,7,7,7,7,7,9,8,22.04
1743710983882851,9,7,8,6,7,4,5,7,8,13,7,7,22.01
1743710983909693,8,5,6,7,6,8,7,7,7,8,7,7,22.23
1743710983938691,8,7,4,7,7,7,5,7,9,7,8,7,22.3
1743710983966378,8,7,7,8,7,8,7,7,7,6,7,7,22.27
1743710983993375,4,7,7,7,9,7,7,7,7,8,7,7,22.74
1743710984020199,7,7,7,8,6,6,7,6,8,7,7,6,23.03
1743710984048455,7,7,6,7,7,7,7,7,7,8,7,8,23.64
1743710984074238,10,7,8,7,7,9,7,8,7,7,9,8,23.75
1743710984104336,8,7,7,10,8,6,7,8,7,7,4,7,23.96
1743710984130215,12,8,6,8,7,8,7,7,7,8,7,6,24.04
1743710984157820,9,7,9,7,7,7,7,6,8,8,7,7,24.17
1743710984185631,11,8,7,7,7,7,7,8,7,8,8,8,24.32
1743710984212420,8,6,7,7,6,8,7,7,7,8,7,8,24.31
1743710984239542,8,7,7,8,8,6,8,7,7,5,7,7,24.46
1743710984266082,8,7,8,7,7,7,7,8,8,7,7,7,24.5
1743710984292737,9,7,7,8,8,8,7,4,7,8,6,7,24.69
1743710984320185,7,7,6,7,7,7,4,9,8,8,7,10,24.89
1743710984345713,9,7,10,7,9,7,8,7,7,3,6,7,24.71
1743710984373266,8,8,7,8,8,7,6,7,9,7,8,7,25.1
1743710984399525,6,7,8,7,7,7,7,7,10,7,7,7,25.26
1743710984426478,9,7,8,6,7,7,7,8,8,7,8,9,25.29
1743710984453740,9,7,7,8,7,8,7,8,7,8,8,7,25.45
1743710984480454,9,8,7,8,6,5,9,7,4,7,6,8,25.41
1743710984507707,9,8,7,7,7,6,7,3,7,7,8,7,25.33
1743710984535609,7,8,7,7,6,7,7,8,7,7,7,7,25.82
1743710984561380,9,7,8,7,6,7,7,7,8,6,7,7,25.7
1743710984588073,11,8,8,7,7,8,8,7,7,7,8,8,25.96
1743710984615870,10,12,7,8,8,7,9,7,7,7,8,7,26.09
1743710984642097,9,7,7,7,7,8,7,6,9,7,7,8,26.12
1743710984668853,18,7,6,7,6,8,7,7,8,7,7,9,26.25
1743710984695661,8,7,7,7,8,7,8,9,7,7,8,7,26.0
1743710984722811,8,8,7,7,7,7,6,8,6,6,8,8,26.37
