Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12
1743705640428342,6,2,2,2,5,3,1,1,2,4,4,3
1743705640439556,4,6,5,4,3,3,3,3,5,0,13,5
1743705640451164,6,4,4,2,0,2,3,5,2,0,2,0
1743705640463474,5,4,4,3,0,2,0,2,3,0,2,0
1743705640475231,7,2,0,2,2,5,6,3,6,4,3,4
1743705640486985,7,2,2,2,2,1,2,1,1,3,2,3
1743705640498158,2,2,3,0,0,3,4,4,4,2,0,3
1743705640510717,4,0,2,1,4,3,4,0,0,4,0,3
1743705640522199,6,2,4,2,3,0,2,3,4,4,0,3
1743705640534315,7,3,7,3,2,0,3,3,1,2,4,2
1743705640553927,17,0,2,0,4,3,0,3,0,6,2,3
1743705640557943,2,2,4,7,3,3,0,3,0,1,3,0
1743705640569730,1,3,7,0,4,0,2,0,3,4,3,1
1743705640581250,4,3,2,0,4,2,4,1,3,3,4,2
1743705640593254,9,3,0,4,2,4,6,2,1,3,4,4
1743705640604529,4,3,4,2,2,4,3,2,3,0,0,3
1743705640616747,5,5,0,4,3,0,2,1,5,3,0,2
1743705640628173,5,2,0,1,4,4,0,3,5,4,13,3
1743705640640334,12,0,4,8,0,1,2,0,4,3,5,0
1743705640652694,7,12,4,0,4,3,0,2,0,5,2,1
1743705640664193,3,4,1,2,0,0,4,0,4,0,1,4
1743705640677091,21,4,3,5,3,1,1,4,3,0,1,0
1743705640688820,8,3,7,4,2,2,4,3,0,4,16,2
1743705640700423,6,0,0,0,0,5,0,1,0,4,1,4
1743705640713029,7,4,0,11,4,3,0,4,3,3,4,4
1743705640725973,5,0,1,1,3,3,1,5,3,3,2,4
1743705640738671,6,0,3,4,0,3,1,8,0,4,2,0
1743705640753275,3,5,2,2,2,0,1,3,0,5,1,0
1743705640764577,9,2,3,5,5,2,2,2,0,4,0,4
1743705640777624,5,3,3,3,3,0,2,4,0,3,1,2
1743705640790935,5,3,0,1,20,5,3,3,0,0,3,1
1743705640804091,6,0,4,3,1,3,0,0,4,2,4,0
1743705640816523,4,4,2,4,3,0,0,0,0,0,3,0
1743705640828366,0,3,4,3,0,3,3,3,2,4,9,2
1743705640840497,7,3,0,3,3,0,6,4,3,3,0,1
1743705640852473,4,0,4,16,0,0,14,4,3,11,3,4
1743705640865754,3,4,3,0,5,2,6,3,3,2,3,0
1743705640877114,8,2,3,0,5,2,8,2,18,5,3,3
1743705640889206,3,2,1,0,4,3,4,0,4,3,6,2
1743705640901150,5,5,0,4,3,3,2,3,10,4,3,3
1743705640913380,3,2,3,3,2,0,2,0,0,3,0,3
1743705640925777,0,0,3,0,5,2,16,2,0,0,4,2
1743705640936947,6,3,4,2,0,3,0,0,2,16,3,2
1743705640949336,3,3,11,3,3,0,3,4,3,6,2,3
1743705640960765,2,3,0,4,4,4,2,4,3,5,3,0
1743705640973596,5,1,1,3,2,1,0,6,13,1,2,3
1743705640985003,6,1,4,0,7,3,1,4,4,8,1,0
1743705640997629,3,4,2,0,2,3,3,3,4,1,4,8
1743705641009623,5,2,3,4,3,2,5,2,0,3,2,7
1743705641021649,12,4,2,0,3,2,1,3,2,3,3,3
1743705641034191,5,0,0,1,5,0,5,0,0,2,0,4
1743705641045534,8,3,0,4,1,0,5,2,0,3,2,0
1743705641058380,22,1,0,3,2,3,0,5,5,4,3,4
1743705641069959,7,2,2,0,0,2,0,2,6,0,3,0
1743705641081606,4,4,4,1,4,0,3,0,3,0,2,0
1743705641094798,12,4,1,1,4,2,5,4,1,1,0,4
1743705641106122,20,0,4,2,3,0,3,1,3,0,0,4
